Model,mAP_box,mAP_mask,time_avg,time_min,time_max,time_std
yolo11n-seg.onnx,0.529339860074156,0.37177898653069325,12.413535008672625,8.258499903604388,312.5010000076145,30.169296431376114
yolo11n-seg_fp16.onnx,0.529339860074156,0.37177898653069325,9.725950993597507,7.6524000614881516,94.66150007210672,8.57524629082442
yolo11n-seg_fp32.onnx,0.529339860074156,0.37177898653069325,9.020677017979324,7.21509987488389,87.99979998730123,7.972283841541583
yolo11n-seg_int8.onnx,0.509397536257806,0.3704256239803682,74.93075198493898,64.20740019530058,129.00639977306128,14.008146952173698
yolo11n-seg_pruned_10pct.onnx,0.5262742958184486,0.37146625993123394,10.805947014596313,8.621199987828732,94.56640016287565,8.470236082786093
yolo11n-seg_pruned_15pct.onnx,0.5278395031276628,0.37090761787865034,10.064928000792861,7.909900043159723,99.15510006248951,8.987745366291861
yolo11n-seg_pruned_20pct.onnx,0.5248916239390662,0.3715983621226705,10.516389987897128,8.186599938198924,122.48940020799637,11.275189766426967
yolo11n-seg_pruned_25pct.onnx,0.5258400839803561,0.375406856323207,10.893134011421353,8.646500064060092,96.86099993996322,8.676149061303487
yolo11n-seg_pruned_30pct.onnx,0.5255348527959715,0.37565706918999386,10.801305980421603,8.219100069254637,95.60410003177822,8.559229289339521
yolo11n-seg_pruned_35pct.onnx,0.5139893894118016,0.36811390420517537,10.433559003286064,8.32949997857213,91.2619000300765,8.15714654678683
yolo11n-seg_pruned_40pct.onnx,0.4970151485451516,0.35144404971861065,10.17562399385497,8.288899902254343,89.22980003990233,7.9960995181323975
yolo11n-seg_pruned_45pct.onnx,0.46825645702368257,0.33723004187103395,9.87902001477778,8.018699940294027,88.29360012896359,7.910328462773212
yolo11n-seg_pruned_50pct.onnx,0.4196426502059047,0.2980825509283807,9.559868010692298,7.8251000959426165,97.35960001125932,8.841004429942043
yolo11n-seg_pruned_5pct.onnx,0.52751719556431,0.37158287019271014,10.48476500203833,7.811000104993582,129.7667999751866,12.01392808526529
yolo11n-seg_pruned_fp32.onnx,0.5255348527959715,0.37565706918999386,10.841704015620053,8.824700023978949,104.01089978404343,9.391210304428089
yolo11n-seg_struct_10pct.onnx,0.0,0.0,10.56942000752315,7.804900174960494,111.59610003232956,10.19326069453613
yolo11n-seg_struct_15pct.onnx,0.0,0.0,9.51864699833095,7.579999975860119,120.58470002375543,11.176347601938593
yolo11n-seg_struct_2pct.onnx,0.27795061728921705,0.05516359751342386,9.331389006692916,7.429999997839332,95.8752001170069,8.721909147495454
yolo11n-seg_struct_3pct.onnx,0.0,0.0,10.076604997739196,7.198899984359741,109.90470019169152,10.0714908713693
yolo11n-seg_struct_4pct.onnx,0.0,0.0,10.194119994994253,7.797300117090344,109.04640005901456,9.996763494615148
yolo11n-seg_struct_5pct.onnx,0.0,0.0,10.265298008453101,7.505200104787946,120.43350003659725,11.114336798614183
