Temps (s),Tension (V),Courant (A),Watt (W)
164,5.14656,1.09408,5.6307483648
165,5.14737,1.08763,5.5984340331
166,5.14606,1.09480,5.633906488
167,5.14612,1.09285,5.623937242
168,5.14675,1.08933,5.6065091774999996
169,5.14600,1.09422,5.63085612
170,5.14562,1.09737,5.6466490194
171,5.14556,1.10792,5.7008688352
172,5.14569,1.10708,5.6966904852
173,5.14750,1.08625,5.591471875
174,5.14750,1.08425,5.581176875
175,5.14681,1.08652,5.5921120012
176,5.1463,1.0955,5.6377716499999995
177,5.14681,1.09703,5.6462049743
178,5.14806,1.08312,5.575966747200001
179,5.14694,1.09610,5.641560934
180,5.14587,1.10205,5.6710060335
181,5.14569,1.10263,5.6737921647
182,5.14556,1.10225,5.671693509999999
183,5.14594,1.09750,5.6476691500000005
184,5.14575,1.10015,5.661096862499999
185,5.14469,1.10740,5.697229705999999
186,5.14462,1.10403,5.6798148186
187,5.14569,1.09605,5.6399335245
188,5.1456,1.1028,5.67456768
189,5.14694,1.08965,5.608363171
190,5.14750,1.08850,5.60305375
191,5.14569,1.09995,5.6600017155
192,5.1456,1.09315,5.624912640000001
193,5.14619,1.08960,5.607288624
194,5.14725,1.07520,5.534323199999999
195,5.14762,1.08635,5.592116987
196,5.14662,1.10387,5.6811994194
197,5.14656,1.10008,5.6616277248
198,5.14739,1.09250,5.623523575
199,5.14712,1.08852,5.6027430624
200,5.14606,1.09443,5.6320024458
201,5.14488,1.10295,5.674545396
202,5.14519,1.10217,5.670874062300001
203,5.14556,1.10162,5.6684518072
204,5.14589,1.10505,5.6864657445
205,5.14600,1.09875,5.6541675
206,5.14488,1.10200,5.66965776
207,5.14500,1.09950,5.656927499999999
208,5.14569,1.09713,5.6454908697
209,5.14619,1.10027,5.6621984713
210,5.14694,1.09558,5.6388845252
211,5.14581,1.10487,5.6854510947
212,5.15831,0.96858,4.9962358998
213,5.16938,0.85002,4.3940763876
214,5.15083,0.94975,4.8920007925
215,5.15113,1.05075,5.4125498475
216,5.14869,1.07802,5.5503907938
217,5.14831,1.07362,5.527328582200001
218,5.14875,1.06635,5.490369562499999
219,5.14850,1.07090,5.5135286500000005
220,5.14831,1.07540,5.536492574
221,5.14938,1.06547,5.4865099085999995
222,5.14925,1.06202,5.4686064850000005
223,5.14875,1.07257,5.5223947875
224,5.14812,1.07900,5.554821479999999
225,5.14812,1.07325,5.5252197899999995
226,5.14869,1.07478,5.5337090382000005
227,5.14819,1.07945,5.5572136955
228,5.14863,1.07235,5.521133380499999
229,5.14931,1.07405,5.5306164055
230,5.14869,1.08213,5.5715519097
231,5.1490,1.07413,5.53069537
232,5.14956,1.05005,5.407295478
233,5.14844,1.06842,5.500696264799999
234,5.14775,1.07605,5.5392363875
235,5.14838,1.07152,5.516592137600001
236,5.14862,1.06473,5.4818901726
237,5.14812,1.07193,5.5184242716
238,5.14831,1.08220,5.571501082000001
239,5.14869,1.07938,5.5573930122
240,5.14812,1.08325,5.57670099
241,5.14812,1.07475,5.53294197
242,5.14875,1.06397,5.4781155375
243,5.14819,1.07652,5.542129498799999
244,5.14756,1.08503,5.5852570268
245,5.14850,1.07630,5.5413305500000005
246,5.14975,1.06447,5.4817543825
247,5.14925,1.06790,5.498884075
248,5.14863,1.07293,5.524119585899999
249,5.15000,1.06168,5.467652
250,5.14969,1.05762,5.4464151378
251,5.14800,1.07335,5.5256058
252,5.14788,1.07925,5.55584949
253,5.1485,1.0724,5.521251400000001
254,5.14794,1.07563,5.537278702200001
255,5.14756,1.08168,5.568012700800001
256,5.14819,1.07523,5.535488333699999
257,5.14875,1.07317,5.525484037499999
258,5.14875,1.06925,5.5053009374999995
259,5.14825,1.06947,5.5058989275
260,5.14812,1.07590,5.538862308
261,5.14819,1.07987,5.5593759353
262,5.14762,1.08202,5.5698277924
263,5.14794,1.07318,5.5246662492
264,5.14819,1.07130,5.515255946999999
265,5.14755,1.07942,5.556368421
266,5.14825,1.07765,5.5480116125
267,5.14888,1.06900,5.5041527199999996
268,5.14806,1.07430,5.530560858
269,5.14706,1.07928,5.5551189168
270,5.14781,1.07538,5.5358519178
271,5.14794,1.08592,5.5902510048
272,5.14762,1.08730,5.597007226
273,5.14819,1.07825,5.5510358674999996
274,5.14875,1.07850,5.552926875
275,5.14762,1.08618,5.591241891599999
276,5.14687,1.08900,5.604941429999999
277,5.14863,1.07458,5.5326148254000005
278,5.14888,1.06782,5.4980770416
279,5.14775,1.08575,5.5891695625
280,5.14750,1.08528,5.5864788
281,5.14781,1.07868,5.5528396908
282,5.14812,1.08138,5.567074005599999
283,5.14775,1.08495,5.585051362500001
284,5.14750,1.07858,5.55199055
285,5.14750,1.07530,5.53510675
