Model,mAP_box,mAP_mask,time_avg,time_min,time_max,time_std
yolo11n-seg.onnx,0.529339860074156,0.37177898653069325,13.310483992099762,8.51329998113215,317.7115998696536,30.609189903922374
yolo11n-seg_fp16.onnx,0.529339860074156,0.37177898653069325,9.590631020255387,7.785199908539653,92.98690012656152,8.411247036772926
yolo11n-seg_fp32.onnx,0.529339860074156,0.37177898653069325,10.356467987876385,7.843300001695752,93.99179997853935,8.455078540620448
yolo11n-seg_int8.onnx,0.509397536257806,0.3704256239803682,76.5135619789362,67.32849986292422,124.8654997907579,11.003302082771315
yolo11n-seg_pruned_fp32.onnx,0.5255348527959715,0.37565706918999386,11.679653995670378,8.872400037944317,95.03350011073053,8.72317269031693
yolo11n-seg_struct_0.1pct.onnx,0.529339860074156,0.37177898653069325,10.641128993593156,8.44380003400147,90.44310008175671,8.06481497565381
yolo11n-seg_struct_0.2pct.onnx,0.513659677577705,0.3550349878126282,9.919165011961013,7.825399981811643,91.12469991669059,8.193541176383343
yolo11n-seg_struct_0.3pct.onnx,0.513659677577705,0.3550349878126282,9.839133995119482,7.867099950090051,92.43870014324784,8.326583233198225
yolo11n-seg_struct_0.5pct.onnx,0.5026595059444864,0.3288921087256521,10.00482901930809,8.029799908399582,85.48019989393651,7.620892283876311
yolo11n-seg_struct_1.0pct.onnx,0.4400373868114325,0.2692299949049445,9.919977011159062,7.960899965837598,89.44069989956915,8.015522392732123
yolo11n-seg_struct_10pct.onnx,0.0,0.0,9.463307997211814,7.281299913302064,86.1285999417305,7.754382209901888
yolo11n-seg_struct_15pct.onnx,0.0,0.0,8.966829006094486,7.080900017172098,88.26650003902614,7.997467323770726
yolo11n-seg_struct_2pct.onnx,0.27795061728921705,0.05516359751342386,8.91420200234279,6.728699896484613,87.299499893561,7.910471658724257
yolo11n-seg_struct_3pct.onnx,0.0,0.0,9.178033987991512,7.258699974045157,89.2913001589477,8.090066849497854
yolo11n-seg_struct_4pct.onnx,0.0,0.0,8.922232009936124,7.281799800693989,90.22970008663833,8.191574794992734
yolo11n-seg_struct_5pct.onnx,0.0,0.0,8.631896011065692,7.031999994069338,91.88030008226633,8.382312913967516
