Temps (s),Tension (V),Courant (A),Watt (W)
163,5.21500,0.34900,1.8200349999999998
164,5.19531,0.56675,2.9444419425
165,5.15994,0.92197,4.7573098817999995
166,5.14925,1.07228,5.52143779
167,5.14719,1.08816,5.6009662704
168,5.14669,1.08995,5.6096347655
169,5.14881,1.09038,5.6141594478
170,5.14787,1.09217,5.6223491779
171,5.14737,1.08112,5.5649246543999995
172,5.14719,1.07353,5.525662880700001
173,5.14619,1.08747,5.5963272393
174,5.14587,1.09195,5.6190327465
175,5.14625,1.09002,5.6095154250000006
176,5.14644,1.09865,5.654136306
177,5.14694,1.09880,5.655457672
178,5.14681,1.09302,5.625566266200001
179,5.14625,1.10008,5.6612867
180,5.14625,1.09625,5.6415765625
181,5.14625,1.09400,5.629997500000001
182,5.14750,1.08830,5.60202425
183,5.14819,1.07848,5.5522199512
184,5.14675,1.09747,5.6484037224999994
185,5.14669,1.08715,5.595224033500001
186,5.14706,1.07840,5.5505895039999995
187,5.14606,1.09300,5.62464358
188,5.14600,1.09503,5.63502438
189,5.14600,1.09688,5.64454448
190,5.14594,1.09930,5.6569318420000005
191,5.14706,1.08920,5.606177752
192,5.14719,1.09005,5.6106944595
193,5.14694,1.09620,5.642075628
194,5.14662,1.09085,5.614190427000001
195,5.14569,1.09343,5.6264518166999995
196,5.14687,1.08475,5.5830672325
197,5.14706,1.08675,5.5935674550000005
198,5.14569,1.10060,5.663346414
199,5.14681,1.08920,5.605905452
200,5.14744,1.07975,5.557948339999999
201,5.14750,1.08615,5.590957125
202,5.14662,1.09592,5.640283790400001
203,5.14612,1.09850,5.65301282
204,5.14668,1.09245,5.622490566
205,5.14644,1.09075,5.613479430000001
206,5.14650,1.09288,5.62450692
207,5.14712,1.09017,5.6112358104
208,5.14731,1.08753,5.597854044300001
209,5.14662,1.09185,5.619337047
210,5.14625,1.10188,5.67054995
211,5.14637,1.10270,5.674902199
212,5.14762,1.09145,5.618369849
213,5.14750,1.08705,5.595589875
214,5.14625,1.09225,5.6209915624999995
215,5.14562,1.09788,5.6492732856
216,5.14669,1.08745,5.596768040500001
217,5.14687,1.08870,5.603397369
218,5.14581,1.10240,5.672740944
219,5.14606,1.09857,5.6533071342
220,5.14625,1.09978,5.659742825
221,5.14625,1.09983,5.660000137500001
222,5.14594,1.10035,5.662335079
223,5.14562,1.10610,5.691570282000001
224,5.14587,1.10260,5.673836262000001
225,5.14625,1.10090,5.665506625
226,5.14650,1.10283,5.675714595
227,5.14750,1.09255,5.623901125
228,5.14656,1.09833,5.652621244800001
229,5.14562,1.10303,5.6757732286
230,5.14625,1.10475,5.6853196875
231,5.17375,0.86505,4.4755524375
232,5.20244,0.68643,3.5711108892
233,5.21044,0.39252,2.0452019087999997
234,5.21288,0.37437,1.9515458855999999
235,5.21406,0.36020,1.8781044120000001
236,5.21438,0.35685,1.8607515030000001
237,5.21431,0.35645,1.8586407995
238,5.21481,0.35638,1.8584539878
239,5.21500,0.35588,1.8559141999999997
240,5.21500,0.35520,1.852368
241,5.20806,0.45105,2.349095463
242,5.18194,0.72450,3.75431553
243,5.15518,0.96622,4.9810380196
244,5.15013,1.04985,5.4068639805
245,5.14987,1.05927,5.455102794899999
246,5.14944,1.07105,5.515307712
247,5.15063,1.06775,5.4995851825
248,5.15069,1.06250,5.472608125
249,5.15063,1.05950,5.457092485
250,5.15019,1.06210,5.470016799000001
251,5.14988,1.06090,5.463507691999999
252,5.1500,1.0563,5.439945000000001
253,5.14875,1.06285,5.4723489375000005
254,5.14844,1.06580,5.487207352
255,5.14950,1.06620,5.4903969
256,5.14969,1.06943,5.5072329767
257,5.14931,1.07405,5.5306164055
258,5.14956,1.07500,5.5357769999999995
259,5.14988,1.07515,5.536893482
260,5.14944,1.07730,5.547491712
261,5.15013,1.06960,5.5085790480000005
262,5.15038,1.06330,5.476399054
263,5.14862,1.06975,5.507736245
264,5.14750,1.07200,5.518120000000001
265,5.15975,1.05770,5.457467575
266,5.1500,1.0567,5.442005
267,5.14775,1.07265,5.521734037500001
268,5.14850,1.07008,5.50930688
269,5.14925,1.06258,5.471490065000001
270,5.14838,1.06290,5.472213102
271,5.14806,1.07052,5.5111011912
272,5.14881,1.07643,5.5423335483
273,5.14906,1.07812,5.5513045672
274,5.14812,1.07702,5.5446282024
275,5.14806,1.06900,5.50327614
276,5.14960,1.06000,5.458576000000001
277,5.14969,1.06303,5.474274960699999
278,5.14944,1.06263,5.4719494272
279,5.14931,1.07205,5.5203177855
280,5.14875,1.07550,5.537480624999999
281,5.14812,1.07400,5.5290808799999995
282,5.14750,1.08420,5.5809195
283,5.14938,1.07800,5.551031640000001
284,5.14956,1.07550,5.538351779999999
285,5.14769,1.07630,5.540458747
286,5.14838,1.06367,5.4761773546
287,5.14963,1.06015,5.4593802445
288,5.14927,1.07405,5.530573443499999
289,5.14800,1.08015,5.5606122
290,5.14800,1.07788,5.548926239999999
291,5.14888,1.07748,5.5478152224
292,5.14856,1.07778,5.5490149967999995
293,5.14838,1.07260,5.522152388
294,5.14862,1.06370,5.476587094000001
295,5.14825,1.06875,5.5021921875
296,5.14894,1.06790,5.498553026
297,5.14937,1.06400,5.47892968
298,5.14931,1.07618,5.541584435799999
299,5.14862,1.07855,5.553044100999999
300,5.14806,1.07897,5.5546022982
301,5.14969,1.07035,5.511970691499999
302,5.14950,1.06470,5.48267265
303,5.14787,1.07685,5.5434838095000005
304,5.14781,1.07810,5.549853961
305,5.14856,1.07162,5.5172998672
306,5.14950,1.06848,5.50213776
307,5.14987,1.06942,5.5073739754
308,5.14862,1.06985,5.508251107
309,5.14750,1.06620,5.4882645000000005
310,5.14769,1.07087,5.5125067903
311,5.14812,1.07998,5.559866637599999
312,5.14800,1.07187,5.51798676
313,5.14750,1.07002,5.50792795
314,5.14750,1.08125,5.565734375
315,5.14888,1.08125,5.5672265
316,5.14875,1.07442,5.531919974999999
317,5.14806,1.07603,5.5394670018
318,5.14869,1.08427,5.5825701063
319,5.14831,1.07317,5.525011842700001
320,5.14769,1.06952,5.5055574088
321,5.14787,1.08245,5.5723118815
322,5.14894,1.08465,5.584797770999999
323,5.15287,1.04188,5.368672195599999
324,5.17000,0.84813,4.384832100000001
325,5.19538,0.56650,2.94318277
326,5.20850,0.42362,2.20642477
327,5.2126,0.38965,2.03108959
328,5.21331,0.36938,1.9256924478
329,5.21375,0.36162,1.885396275
330,5.21375,0.36075,1.8808603125
331,5.21375,0.36000,1.87695
332,5.21375,0.35978,1.875802975
333,5.21375,0.35952,1.8744474
334,5.21038,0.39415,2.053671277
335,5.18312,0.68705,3.561062596
336,5.15294,1.02045,5.258317623000001
337,5.14650,1.09875,5.654716874999999
338,5.14625,1.10510,5.687120875
339,5.14587,1.10620,5.692361394000001
340,5.14625,1.10038,5.662830575
341,5.14681,1.09112,5.6157873272000005
342,5.14619,1.09287,5.6241166653
343,5.14706,1.08672,5.593413043199999
344,5.14669,1.09407,5.630839128300001
345,5.14569,1.10942,5.7087313998
346,5.14562,1.11275,5.725788655
347,5.14569,1.11167,5.7203092023
348,5.14562,1.11100,5.71678382
349,5.14500,1.10850,5.7032324999999995
350,5.14500,1.10025,5.660786249999999
351,5.14500,1.10650,5.6929425
352,5.14544,1.11100,5.716583839999999
353,5.14519,1.11340,5.7286545460000005
354,5.14535,1.10880,5.705164079999999
355,5.14581,1.10377,5.679790703699999
356,5.14525,1.10595,5.6903892375
357,5.14544,1.10625,5.692143
358,5.14556,1.10895,5.706168762
359,5.14544,1.10830,5.702691152
360,5.14475,1.10908,5.7059393300000005
361,5.14444,1.11345,5.7280767180000005
362,5.14475,1.11632,5.74318732
363,5.14650,1.09493,5.635057245
364,5.14600,1.09937,5.657358019999999
365,5.14625,1.09350,5.6274243749999995
366,5.14628,1.09238,5.6216933464
367,5.14500,1.10967,5.709252149999999
368,5.14612,1.10035,5.662533141999999
369,5.14575,1.10020,5.66135415
370,5.14481,1.10860,5.703536366
371,5.14475,1.11500,5.73639625
372,5.14544,1.10913,5.7069618671999995
373,5.14525,1.11060,5.71431465
374,5.14550,1.10770,5.69967035
375,5.14625,1.09590,5.639775375000001
376,5.14612,1.09300,5.624709159999999
377,5.14656,1.09365,5.628535344
378,5.14687,1.09693,5.6457561091
379,5.14694,1.09388,5.6301347272
380,5.14681,1.08985,5.6092508785
381,5.14813,1.07525,5.535526782500001
382,5.14750,1.08675,5.594045625000001
383,5.14687,1.09530,5.637366710999999
384,5.14762,1.08282,5.573945888399999
385,5.14806,1.07298,5.5237654188
386,5.14881,1.07085,5.5136031885
387,5.14863,1.07807,5.5505835441
388,5.14838,1.07615,5.540429137
389,5.14831,1.07118,5.5147667058000005
390,5.14900,1.06343,5.475601070000001
391,5.14781,1.07750,5.546765274999999
392,5.14694,1.08822,5.6010030468
393,5.14804,1.08712,5.5965372448
394,5.14788,1.07905,5.554819914
395,5.14888,1.07053,5.5120305064
396,5.14944,1.06643,5.4915172992
397,5.14925,1.06465,5.482149012500001
398,5.14806,1.07352,5.5265453712
399,5.14806,1.07735,5.5462624410000005
400,5.14875,1.07045,5.511479437499999
401,5.14931,1.06065,5.461615651500001
402,5.14944,1.06023,5.4595907712
403,5.14931,1.06708,5.4947257148
404,5.15463,1.01222,5.2176195786
405,5.17331,0.80745,4.1771891595
406,5.19894,0.58042,3.0175687548000005
407,5.20925,0.41636,2.16892333
408,5.21213,0.38410,2.001979133
409,5.21338,0.36917,1.9246234946
410,5.21375,0.36410,1.898326375
411,5.21375,0.36330,1.8941553750000002
412,5.21375,0.36240,1.8894630000000001
413,5.21375,0.36195,1.8871168125
414,5.21375,0.36150,1.884770625
415,5.20938,0.41175,2.144962215
416,5.17500,0.75788,3.9220289999999998
417,5.14500,1.04935,5.39890575
418,5.14500,1.10805,5.70091725
419,5.14400,1.11695,5.7455908
420,5.14375,1.11733,5.747266187499999
421,5.14425,1.11175,5.7191199375
422,5.1435,1.12065,5.764063275
423,5.14313,1.12900,5.80659377
424,5.14412,1.11987,5.7607456644
425,5.14512,1.10752,5.6983233024
426,5.14450,1.10745,5.697276525
427,5.14388,1.11470,5.733883036000001
428,5.14444,1.11795,5.751226698
429,5.14438,1.11805,5.751674059
430,5.14450,1.11065,5.7137389249999995
431,5.14500,1.10755,5.6983447499999995
432,5.14438,1.11677,5.745089252600001
433,5.14444,1.11815,5.752255586
434,5.14500,1.11138,5.7180501
435,5.14600,1.09725,5.6464485
436,5.14675,1.09365,5.6287431375
437,5.14637,1.10228,5.6727407236
438,5.14625,1.09943,5.6579416375
439,5.14669,1.09500,5.63562555
440,5.14769,1.08850,5.603260565
441,5.14794,1.08223,5.571255106200001
442,5.14700,1.08480,5.5834656
443,5.14644,1.09205,5.620169802
444,5.14739,1.08900,5.6055077099999995
445,5.14850,1.07518,5.53556423
446,5.14944,1.06522,5.485286476800001
447,5.14919,1.07480,5.534349412
448,5.14812,1.08100,5.565117719999999
449,5.14888,1.07325,5.52603546
450,5.14937,1.06787,5.498857741900001
451,5.14931,1.06655,5.4919965805
452,5.14937,1.07100,5.51497527
453,5.14844,1.07555,5.537404642
454,5.14844,1.07210,5.519642524
455,5.14975,1.06205,5.4692919875
456,5.15000,1.05597,5.438245500000001
457,5.15062,1.05258,5.4214395996
458,5.15125,1.04925,5.4049490625
459,5.15313,1.02965,5.3059203045
460,5.16275,0.92500,4.77554375
461,5.19512,0.62190,3.2308451280000003
462,5.20994,0.40918,2.1318032492
463,5.21225,0.38173,1.9896721925
464,5.21375,0.36542,1.9052085250000002
465,5.21375,0.36467,1.9012982125
466,5.21313,0.36975,1.9275548175
467,5.2130,0.36973,1.92740249
468,5.21363,0.36380,1.8967185940000002
469,5.21375,0.36230,1.8889416250000002
470,5.20719,0.43450,2.262524055
471,5.17732,0.68765,3.5601840979999997
473,5.14587,1.10688,5.695860585600001
474,5.14562,1.10925,5.707778985
475,5.14594,1.10648,5.6938796912
476,5.14606,1.10302,5.6762071012
477,5.14562,1.0998,5.659152876
478,5.14606,1.09598,5.6399788388
479,5.14681,1.09053,5.6127507093
480,5.14600,1.10445,5.6834997
481,5.14500,1.11683,5.746090349999999
482,5.14562,1.10775,5.700060555
483,5.14569,1.10790,5.700909951000001
484,5.14562,1.10332,5.677265458400001
485,5.14569,1.09813,5.650636559700001
486,5.14556,1.09767,5.648126845199999
487,5.14562,1.09705,5.645002421000001
488,5.14656,1.09472,5.634042163199999
489,5.14744,1.08565,5.588318235999999
490,5.14825,1.07878,5.553829135
491,5.14900,1.06982,5.50850318
492,5.14800,1.07687,5.543726759999999
493,5.14769,1.07950,5.556931355
494,5.14806,1.07888,5.554138972800001
495,5.14831,1.07562,5.5376252022
496,5.14875,1.06850,5.5014393749999995
497,5.14875,1.07213,5.5201293375
498,5.14875,1.07537,5.536811287499999
499,5.15000,1.05525,5.4345375
500,5.14919,1.05413,5.4279156547
501,5.15062,1.05040,5.410211248
502,5.15094,1.05038,5.410444357200001
503,5.14913,1.06990,5.509054187000001
504,5.14975,1.06575,5.4883460625
505,5.1500,1.0655,5.487325
506,5.150,1.06045,5.4613175
507,5.15106,1.05408,5.4296293248
508,5.15100,1.04855,5.40108105
509,5.15063,1.04830,5.399405429
510,5.15069,1.05010,5.408739569
511,5.15075,1.05142,5.415601565
512,5.15144,1.04803,5.3988636632
513,5.15169,1.04020,5.358787938000001
514,5.15125,1.03598,5.336591974999999
515,5.15063,1.04275,5.3708194325
516,5.15125,1.04750,5.395934375
517,5.15312,1.02883,5.3016844496
518,5.15263,1.02708,5.2921632204
519,5.15194,1.03893,5.352505024199999
520,5.15144,1.04230,5.369345912
521,5.15150,1.03703,5.342260045
522,5.15225,1.02760,5.294452100000001
523,5.15237,1.03347,5.324819823900001
524,5.15294,1.03593,5.3380851342
525,5.15281,1.03312,5.3234710672
526,5.15250,1.02835,5.298573375
527,5.15250,1.02603,5.286619575
528,5.15250,1.02640,5.288526
529,5.15237,1.02110,5.261085007
530,5.15188,1.02853,5.2988631364
531,5.15256,1.03705,5.343462348
532,5.15306,1.03532,5.3350660792
533,5.15250,1.03038,5.309032950000001
534,5.15312,1.02332,5.273290758400001
535,5.15369,1.0258,5.286655202
536,5.15275,1.03605,5.3385066375
537,5.15237,1.03490,5.332187713
538,5.15250,1.03233,5.319080325
539,5.15322,1.02377,5.2757120394
540,5.15437,1.02030,5.259003711
541,5.15362,1.01700,5.241231539999999
542,5.16144,0.93253,4.8131976432
543,5.18419,0.68455,3.5488372645
544,5.20450,0.46640,2.4273788
545,5.21106,0.39700,2.06879082
546,5.21288,0.37795,1.970207996
547,5.21375,0.36650,1.910839375
548,5.21375,0.36572,1.90677265
549,5.21375,0.36500,1.90301875
550,5.21375,0.36427,1.8992127125
551,5.21375,0.36385,1.8970229375
552,5.21375,0.36350,1.895198125
553,5.19425,0.57330,2.9778635250000005
554,5.16531,0.88825,4.5880866075
555,5.14800,1.08042,5.56200216
556,5.14500,1.11425,5.732816249999999
557,5.14463,1.11363,5.729214306899999
558,5.14431,1.11440,5.732819064
559,5.14494,1.11170,5.719629798
560,5.14537,1.10870,5.704671719
561,5.14475,1.11137,5.7177208075
562,5.14500,1.11328,5.7278256
563,5.14644,1.00083,5.150711545200001
564,5.14687,1.0966,5.644057642
565,5.14762,1.08382,5.5790935084
566,5.14812,1.06875,5.50205325
567,5.14750,1.07700,5.5438575
568,5.14863,1.07628,5.5413674963999995
569,5.14938,1.06575,5.487951734999999
570,5.14938,1.05745,5.445211881
571,5.14988,1.05282,5.4218966616
572,5.15000,1.05493,5.4328895
573,5.15000,1.05763,5.446794500000001
574,5.1500,1.05552,5.4359280000000005
575,5.14975,1.05600,5.438136
576,5.14987,1.05695,5.4431550965
577,5.15119,1.04648,5.3906173112
578,5.15169,1.04103,5.3630638407
579,5.15125,1.04870,5.402115875
580,5.15125,1.04723,5.394543537500001
581,5.15119,1.04410,5.378357479
582,5.15063,1.04690,5.392194546999999
583,5.15063,1.04475,5.3811206925
584,5.15125,1.04350,5.375329375000001
585,5.15125,1.04175,5.3663146875
586,5.15125,1.03830,5.348542875
587,5.15125,1.04100,5.3624512499999994
588,5.15237,1.03302,5.322501257400001
589,5.15313,1.02660,5.290203258
590,5.15219,1.03105,5.3121654995
591,5.15319,1.01948,5.2535741412
592,5.15375,1.01175,5.214306562499999
593,5.15231,1.02925,5.3030150675
594,5.15231,1.03455,5.330322310500001
595,5.15280,1.02892,5.301818976000001
596,5.15250,1.02838,5.29872795
597,5.15262,1.02220,5.267008164
598,5.15375,1.01367,5.2242017625
599,5.15362,1.02123,5.2630313526000005
600,5.15312,1.02600,5.287101120000001
601,5.15319,1.02487,5.2813498353
602,5.15312,1.02608,5.287513369600001
603,5.15375,1.01563,5.2343031125
604,5.15375,1.01545,5.2333754374999994
605,5.15375,1.01730,5.2429098750000005
606,5.15788,0.97200,5.01345936
607,5.17704,0.77025,3.98761506
608,5.19750,0.51960,2.7006209999999995
609,5.20956,0.41080,2.140087248
610,5.21194,0.38375,2.000081975
611,5.21331,0.36927,1.9251189836999998
612,5.21375,0.3668,1.9124035000000001
613,5.21375,0.36525,1.9043221875
614,5.21375,0.36507,1.9033837125000002
615,5.21375,0.36445,1.9001511875000001
616,5.21375,0.36400,1.897805
617,5.20200,0.43775,2.2771755
618,5.17187,0.78217,4.0452815579
619,5.14500,1.13088,5.8183776
620,5.14500,1.10728,5.6969556
621,5.14500,1.11545,5.73899025
622,5.14537,1.11190,5.7211369030000006
623,5.14538,1.10365,5.678698637
624,5.14500,1.10525,5.68651125
625,5.14606,1.09655,5.642912093
626,5.14694,1.08925,5.606304395
627,5.14687,1.09460,5.633763902
628,5.14719,1.09345,5.6281949055
629,5.14731,1.09065,5.6139136515
630,5.14700,1.09382,5.62989154
631,5.14781,1.08335,5.5768799635
632,5.14944,1.06430,5.480548992
633,5.14937,1.06335,5.4755825895
634,5.150,1.0557,5.436855
635,5.15063,1.04710,5.393224672999999
636,5.15106,1.04143,5.3644684158
637,5.15075,1.04443,5.3795978225
638,5.15044,1.05672,5.4425729568
639,5.15156,1.05077,5.4131047012
640,5.15187,1.04715,5.394780670499999
641,5.15231,1.04212,5.3693252972
642,5.15156,1.04520,5.384410512
643,5.15038,1.05413,5.4291700694000005
644,5.15106,1.04930,5.4050072579999995
645,5.15356,1.02632,5.2892016991999995
646,5.15429,1.01098,5.2108841042
647,5.15350,1.01565,5.234152275
648,5.15238,1.03045,5.309269971
649,5.15125,1.04400,5.377905
650,5.15250,1.03425,5.328973124999999
651,5.15250,1.03035,5.308878375
652,5.15125,1.06170,5.469082125000001
653,5.15237,1.03015,5.3077139555
654,5.15263,1.02465,5.279642329500001
655,5.15237,1.02745,5.2938025565
656,5.15287,1.02705,5.2922551335
657,5.15350,1.02122,5.2628572700000005
658,5.15300,1.02175,5.26507775
659,5.15194,1.03267,5.320253879799999
660,5.15281,1.02033,5.257566627299999
661,5.15350,1.01210,5.21585735
662,5.15306,1.01868,5.2493191608
663,5.15319,1.02270,5.270167413
664,5.15312,1.02352,5.2743213824
665,5.15331,1.02217,5.2675588827
666,5.15444,1.00853,5.198407373199999
667,5.15375,1.01175,5.214306562499999
668,5.15387,1.01175,5.2144279725
669,5.15375,1.01125,5.211729687499999
670,5.15413,1.00522,5.1810345586
671,5.15487,1.00420,5.176520453999999
672,5.15444,1.01293,5.2210869092
673,5.15406,1.00993,5.205239815800001
674,5.15375,1.01638,5.238168425
675,5.15425,1.01823,5.2482119775000005
676,5.15406,1.01328,5.2225059168
677,5.15400,1.00550,5.182347
678,5.15425,1.00503,5.180175877500001
679,5.15362,1.01228,5.2169064536
680,5.15375,1.01105,5.210698937499999
681,5.15362,1.01322,5.2217508564
682,5.15394,1.00735,5.191821459
683,5.15437,1.01050,5.208490885
684,5.15375,1.01525,5.2323446874999995
685,5.16644,0.89290,4.613114276
686,5.19044,0.64230,3.3338196119999997
687,5.20594,0.44365,2.309615281
688,5.21025,0.40002,2.0842042050000003
689,5.21300,0.37493,1.9545100899999999
690,5.21375,0.36695,1.9131855625
691,5.21375,0.36593,1.9078675374999998
692,5.21375,0.36578,1.907085475
693,5.21375,0.36525,1.9043221875
694,5.21375,0.36437,1.8997340875000002
695,5.21163,0.38590,2.011168017
696,5.18937,0.54885,2.8481857245
697,5.15925,0.98363,5.0747930775
698,5.14506,1.11598,5.7417840587999995
699,5.14556,1.11055,5.714401657999999
700,5.14488,1.11917,5.7579953496
701,5.14500,1.11250,5.7238125
702,5.14629,1.09915,5.6565446535
703,5.14625,1.09585,5.6395180625000005
704,5.14625,1.08838,5.601075574999999
705,5.14625,1.08918,5.605192575
706,5.14756,1.07770,5.547525412000001
707,5.14944,1.05993,5.458045939200001
708,5.14963,1.05630,5.439554169
709,5.14969,1.05675,5.4419349075
710,5.15087,1.04995,5.4081559565
711,5.15175,1.04665,5.392079137500001
712,5.15106,1.05275,5.422778415000001
713,5.15088,1.04755,5.395804344
714,5.15125,1.04013,5.3579696625
715,5.15137,1.03740,5.344031238
716,5.15194,1.03650,5.33998581
717,5.15188,1.04275,5.372122870000001
718,5.15181,1.03348,5.3242925988
719,5.15188,1.02933,5.302984640400001
