Temps (s),Tension (V),Courant (A),Watt (W)
720,5.15181,1.03690,5.341911789
721,5.15244,1.03038,5.3089711272
722,5.15200,1.03210,5.3173792
723,5.15219,1.02857,5.2993880683
724,5.15263,1.01907,5.2508906541
725,5.15294,1.01588,5.2347686872
726,5.15362,1.01845,5.248704289000001
727,5.15362,1.02180,5.265968916
728,5.15375,1.01750,5.243940625
729,5.15330,1.01812,5.246677795999999
730,5.15319,1.02017,5.2571298423
731,5.15325,1.0258,5.28620385
732,5.15400,1.01715,5.2423911
733,5.15500,1.00165,5.16350575
734,5.15437,1.00900,5.2007593299999995
735,5.15464,1.00945,5.203351347999999
736,5.15375,1.01155,5.213275812499999
737,5.15362,1.01346,5.2229877252
738,5.15375,1.01870,5.250125124999999
739,5.15406,1.01632,5.2381742592
740,5.15569,0.99853,5.1481111357
741,5.15550,0.99965,5.153695575
742,5.15412,1.00908,5.2009194096
743,5.15375,1.02082,5.261051075
744,5.15438,1.01237,5.218139680599999
745,5.15512,0.99847,5.1472326664
746,5.15450,1.00182,5.16388119
747,5.15312,1.01590,5.235054608
748,5.15344,1.01650,5.2384717599999995
749,5.15444,1.00268,5.1682538992
750,5.15437,1.00475,5.1788532575
751,5.15500,1.00475,5.17948625
752,5.1550,1.00020,5.1560310000000005
753,5.15431,1.01080,5.209976547999999
754,5.15437,1.00857,5.1985429509
755,5.15481,0.99963,5.1529027203
756,5.15737,0.97410,5.0237941170000004
757,5.15837,0.96655,4.9858225234999995
758,5.15519,0.99610,5.135084759
759,5.15400,1.01680,5.240587199999999
760,5.15500,1.00412,5.1762386
761,5.15625,0.98772,5.09293125
762,5.15494,1.00245,5.1675696030000005
763,5.15700,0.98375,5.07319875
764,5.17658,0.83425,4.318561865
765,5.19837,0.53115,2.7611142255
766,5.20962,0.41115,2.141935263
767,5.21206,0.38572,2.0103957832
768,5.21375,0.36750,1.916053125
769,5.21375,0.36730,1.915010375
770,5.21375,0.36685,1.9126641875000001
771,5.21375,0.36592,1.9078154
772,5.21375,0.36498,1.9029144750000002
773,5.21375,0.36475,1.9017153125000001
774,5.20882,0.40962,2.1336368484
775,5.20281,0.47055,2.4481822455000004
776,5.20425,0.46530,2.421537525
