Date,Time,Power,Phase
20.1.2026,23:26:31.413,35.505,yolo11n-seg_int8.onnx
20.1.2026,23:26:31.927,35.65,yolo11n-seg_int8.onnx
20.1.2026,23:26:32.427,35.685,yolo11n-seg_int8.onnx
20.1.2026,23:26:32.922,34.48,yolo11n-seg_int8.onnx
20.1.2026,23:26:33.420,10.004,yolo11n-seg_int8.onnx
20.1.2026,23:26:33.919,6.162,yolo11n-seg_int8.onnx
20.1.2026,23:26:34.415,5.338,Idle
20.1.2026,23:26:34.929,5.166,Idle
20.1.2026,23:26:35.445,4.749,Idle
20.1.2026,23:26:35.960,5.09,Idle
20.1.2026,23:26:36.474,4.451,Idle
20.1.2026,23:26:36.972,4.815,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:37.469,4.773,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:37.967,4.873,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:38.466,4.505,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:38.980,4.705,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:39.477,4.762,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:39.988,4.595,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:40.488,4.631,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:40.987,4.713,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:41.485,4.728,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:41.983,4.67,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:42.482,4.745,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:42.992,6.829,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:43.509,19.029,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:44.020,22.849,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:44.530,22.743,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:45.034,22.132,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:45.525,6.675,yolo11n_seg_prune_0_05.onnx
20.1.2026,23:26:46.037,5.52,Idle
20.1.2026,23:26:46.534,5.028,Idle
20.1.2026,23:26:47.035,4.855,Idle
20.1.2026,23:26:47.531,4.841,Idle
20.1.2026,23:26:48.030,4.832,Idle
20.1.2026,23:26:48.528,4.56,Idle
20.1.2026,23:26:49.040,5.14,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:49.552,5.064,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:50.048,4.666,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:50.546,4.829,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:51.044,4.461,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:51.543,4.913,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:52.056,4.559,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:52.571,4.634,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:53.086,4.693,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:53.599,5.113,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:54.097,4.662,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:54.593,4.79,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:55.089,8.888,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:55.597,19.208,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:56.089,21.942,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:56.608,22.215,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:57.110,22.512,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:57.614,7.189,yolo11n_seg_prune_0_1.onnx
20.1.2026,23:26:58.115,5.043,Idle
20.1.2026,23:26:58.613,4.927,Idle
20.1.2026,23:26:59.112,4.635,Idle
20.1.2026,23:26:59.610,4.635,Idle
20.1.2026,23:27:0.108,5.225,Idle
20.1.2026,23:27:0.609,5.308,Idle
20.1.2026,23:27:1.105,4.94,Idle
20.1.2026,23:27:1.600,4.635,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:2.113,5.055,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:2.612,4.618,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:3.112,4.75,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:3.611,4.485,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:4.108,5.212,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:4.622,4.628,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:5.122,4.455,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:5.620,4.552,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:6.118,4.869,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:6.629,4.736,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:7.127,4.667,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:7.617,8.651,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:8.124,20.512,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:8.616,21.85,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:9.125,23.0,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:9.623,20.376,yolo11n_seg_prune_0_15.onnx
20.1.2026,23:27:10.118,5.521,Idle
20.1.2026,23:27:10.632,5.339,Idle
20.1.2026,23:27:11.129,5.032,Idle
20.1.2026,23:27:11.629,4.812,Idle
20.1.2026,23:27:12.127,5.131,Idle
20.1.2026,23:27:12.627,4.738,Idle
20.1.2026,23:27:13.123,4.791,Idle
20.1.2026,23:27:13.634,4.69,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:14.133,4.899,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:14.645,4.68,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:15.144,4.503,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:15.642,4.627,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:16.140,4.973,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:16.639,4.561,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:17.137,4.653,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:17.637,4.686,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:18.136,4.738,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:18.636,5.599,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:19.133,4.636,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:19.639,11.843,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:20.132,18.348,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:20.636,21.413,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:21.136,23.21,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:21.640,22.881,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:22.140,7.253,yolo11n_seg_prune_0_2.onnx
20.1.2026,23:27:22.640,5.522,Idle
20.1.2026,23:27:23.141,5.269,Idle
20.1.2026,23:27:23.652,4.692,Idle
20.1.2026,23:27:24.149,6.123,Idle
20.1.2026,23:27:24.661,4.666,Idle
20.1.2026,23:27:25.158,4.676,Idle
20.1.2026,23:27:25.655,5.167,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:26.153,4.949,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:26.649,4.723,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:27.148,4.732,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:27.661,5.004,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:28.158,5.068,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:28.661,4.727,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:29.161,4.773,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:29.656,4.612,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:30.155,4.762,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:30.652,4.762,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:31.163,4.541,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:31.675,4.629,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:32.168,7.728,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:32.674,19.867,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:33.163,22.181,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:33.674,22.277,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:34.167,16.622,yolo11n_seg_prune_0_25.onnx
20.1.2026,23:27:34.668,5.614,Idle
20.1.2026,23:27:35.167,5.066,Idle
20.1.2026,23:27:35.665,5.114,Idle
20.1.2026,23:27:36.179,4.628,Idle
20.1.2026,23:27:36.674,4.909,Idle
20.1.2026,23:27:37.175,4.555,Idle
20.1.2026,23:27:37.670,4.939,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:38.169,4.552,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:38.668,5.379,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:39.167,4.499,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:39.665,5.044,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:40.166,4.459,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:40.667,4.985,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:41.164,4.182,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:41.678,4.521,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:42.176,4.374,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:42.674,4.851,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:43.172,4.382,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:43.667,4.737,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:44.174,13.588,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:44.664,21.399,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:45.169,22.069,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:45.667,21.106,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:46.175,6.292,yolo11n_seg_prune_0_5.onnx
20.1.2026,23:27:46.670,5.662,Idle
20.1.2026,23:27:47.186,4.809,Idle
20.1.2026,23:27:47.682,4.855,Idle
20.1.2026,23:27:48.181,4.675,Idle
20.1.2026,23:27:48.693,4.971,Idle
20.1.2026,23:27:49.191,4.672,Idle
20.1.2026,23:27:49.688,4.634,Idle
20.1.2026,23:27:50.185,4.557,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:50.685,4.957,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:51.182,4.371,yolo11n_seg_prune_0_75.onnx
20.1.2026,23:27:51.681,4.693,yolo11n_seg_prune_0_75.onnx
