Temps (s),Tension (V),Courant (A),Watt (W)
145,5.12875,0.24600,1.2616725
146,5.12875,0.24600,1.2616725
147,5.12725,0.24600,1.2613035
148,5.11762,0.25905,1.3257194609999998
149,5.10649,0.29282,1.4952824018000002
150,5.07819,0.35720,1.8139294680000002
151,5.05137,0.44808,2.2634178696
152,5.03187,0.47400,2.38510638
153,5.02837,0.47175,2.3721335475
154,5.02769,0.47250,2.3755835249999997
155,5.02806,0.47245,2.375506947
156,5.02738,0.47210,2.373426098
157,5.02750,0.47815,2.403899125
158,5.03000,0.47925,2.4106275000000004
159,5.02800,0.47338,2.3801546399999998
160,5.02569,0.47385,2.3814232065
161,5.02619,0.47805,2.4027701295
162,5.02737,0.47885,2.4073561245
163,5.02750,0.47423,2.3841913249999998
164,5.02713,0.47225,2.3740621424999997
165,5.02650,0.47233,2.374166745
166,5.02625,0.47512,2.3880719
167,5.02687,0.47925,2.4091274475
168,5.02787,0.47725,2.3995509575000002
169,5.02769,0.47395,2.3828736755
170,5.02688,0.47380,2.381735744
171,5.02694,0.47498,2.3876959612
172,5.02694,0.47695,2.3975990329999997
173,5.02812,0.47985,2.4127433820000004
174,5.02794,0.47755,2.401092747
175,5.02625,0.47328,2.3788236
176,5.02563,0.47370,2.380640931
177,5.02563,0.47862,2.4053670306
178,5.02669,0.48148,2.4202507012
179,5.02694,0.47625,2.394080175
180,5.02644,0.47370,2.381024628
181,5.02625,0.47705,2.3977725624999997
182,5.02662,0.47913,2.4084044406
183,5.02688,0.47620,2.393800256
184,5.02631,0.47365,2.3807117315
185,5.02575,0.47420,2.38321065
186,5.02644,0.47378,2.3814267432
187,5.02706,0.47562,2.3909702771999997
188,5.02819,0.47697,2.3982957843
189,5.02700,0.47435,2.38455745
190,5.02525,0.47565,2.3902601625
191,5.02750,0.48200,2.4232549999999997
192,5.02877,0.48125,2.4200955625
193,5.02750,0.47563,2.391229825
194,5.02638,0.47455,2.385268629
195,5.02513,0.47945,2.4092985785
196,5.02631,0.48095,2.4174037944999998
197,5.02744,0.47605,2.393312812
198,5.02737,0.46950,2.360350215
199,5.03800,0.45735,2.3041293
200,5.06444,0.41438,2.0986026472000003
201,5.09506,0.33250,1.6941074500000002
202,5.11687,0.26387,1.3501884868999998
203,5.12506,0.24395,1.2502583870000001
204,5.12834,0.24370,1.249776458
205,5.12938,0.24350,1.24900403
206,5.12944,0.24350,1.2490186399999998
207,5.12931,0.24347,1.2488331057
208,5.12750,0.24323,1.247161825
209,5.12638,0.24300,1.24571034
210,5.12798,0.24300,1.2460991399999999
211,5.12412,0.24660,1.263607992
212,5.10850,0.28175,1.439319875
213,5.09163,0.33920,1.7270808960000001
214,5.06094,0.40180,2.033485692
215,5.03725,0.46168,2.32559758
216,5.02856,0.47883,2.4078253847999997
217,5.02731,0.47775,2.4017973525
218,5.02650,0.47780,2.4016617
219,5.02725,0.47738,2.3999086050000003
220,5.02725,0.47740,2.4000091500000003
221,5.02669,0.47783,2.4019032827
